Problem;Rationale;category;correct;id;options
"Compute
\[\sum_{k = 1}^\infty \frac{6^k}{(3^k - 2^k)(3^{k + 1} - 2^{k + 1})}.\]";"We can attempt to deconstruct the summand by applying supposing that it breaks down like a partial fraction:
\[\frac{6^k}{(3^k - 2^k)(3^{k + 1} - 2^{k + 1})} = \frac{A}{3^k - 2^k} + \frac{B}{3^{k + 1} - 2^{k + 1}}.\]Then
\[6^k = A (3^{k + 1} - 2^{k + 1}) + B (3^k - 2^k),\]which expands as
\[6^k = (3A + B) 3^k - (2A + B) 2^k.\]It makes sense to make both $(3A + B) 3^k$ and $(2A + B) 2^k$ multiples of $6^k$ that differ by $6^k.$  To this end, set $(3A + B) 3^k = (n + 1) 6^k$ and $(2A + B) 2^k = n6^k.$  Then $3A + B = (n + 1) 2^k$ and $2A + B = n3^k$.  Subtracting these equations, we get $A = (n + 1) 2^k - n3^k.$  It follows that $B = 3n3^k - 2(n + 1) 2^k,$ which gives us
\[\frac{6^k}{(3^k - 2^k)(3^{k + 1} - 2^{k + 1})} = \frac{(n + 1) 2^k - n3^k}{3^k - 2^k} + \frac{3n3^k - 2(n + 1) 2^k}{3^{k + 1} - 2^{k + 1}}.\]We can try setting $n$ to different values, to see what we get.  If we set $n = 0,$ then we get
\[\frac{6^k}{(3^k - 2^k)(3^{k + 1} - 2^{k + 1})} = \frac{2^k}{3^k - 2^k} - \frac{2^{k + 1}}{3^{k + 1} - 2^{k + 1}},\]which makes the sum telescope.

Just to make sure the sum converges, we compute the $n$th partial sum:
\begin{align*}
\sum_{k = 1}^n \frac{6^k}{(3^k - 2^k)(3^{k + 1} - 2^{k + 1})} &= \sum_{k = 1}^n \left( \frac{2^k}{3^k - 2^k} - \frac{2^{k + 1}}{3^{k + 1} - 2^{k + 1}} \right) \\
&= 2 - \frac{2^{n + 1}}{3^{n + 1} - 2^{n + 1}} \\
&= 2 - \frac{1}{(\frac{3}{2})^{n + 1} - 1}.
\end{align*}As $n$ becomes very large, $\left( \frac{3}{2} \right)^{n + 1}$ also becomes very large.  Thus, the infinite sum is $\boxed{2}.$";intermediate algebra;;55948;
"Suppose $p(x)$ is a monic cubic polynomial with real coefficients such that $p(3-2i)=0$ and $p(0)=-52$.

Determine $p(x)$ (in expanded form).";"Solution #1

Since $p(x)$ has real coefficients and has $3-2i$ as a root, it also has the complex conjugate, $3+2i$, as a root. The quadratic that has $3-2i$ and $3+2i$ as roots is
\begin{align*}
\left(x-(3-2i)\right)\left(x-(3+2i)\right) &= (x-3+2i)(x-3-2i) \\
&= (x-3)^2 - (2i)^2 \\
&= x^2-6x+9+4 \\
&= x^2-6x+13.
\end{align*}By the Factor Theorem, we know that $x^2-6x+13$ divides $p(x)$. Since $p(x)$ is cubic, it has one more root $r$. We can now write $p(x)$ in the form
$$p(x) = a(x^2-6x+13)(x-r).$$Moreover, $a=1$, because we are given that $p(x)$ is monic.

Substituting $x=0$, we have $p(0)=-13r$, but we also know that $p(0)=-52$; therefore, $r=4$. Hence we have
\begin{align*}
p(x) &= (x^2-6x+13)(x-4) \\
&= \boxed{x^3-10x^2+37x-52}.
\end{align*}Solution #2 (essentially the same as #1, but written in terms of using Vieta's formulas)

Since $p(x)$ has real coefficients and has $3-2i$ as a root, it also has the complex conjugate, $3+2i$, as a root. The sum and product of these two roots, respectively, are $6$ and $3^2-(2i)^2=13$. Thus, the monic quadratic that has these two roots is $x^2-6x+13$.

By the Factor Theorem, we know that $x^2-6x+13$ divides $p(x)$. Since $p(x)$ is cubic, it has one more root $r$. Because $p(0)$ equals the constant term, and because $p(x)$ is monic, Vieta's formulas tell us that $(3-2i)(3+2i)r = (-1)^3(-52) = 52$. Thus $r=4$, and
\begin{align*}
p(x) &= (x^2-6x+13)(x-4) \\
&= \boxed{x^3-10x^2+37x-52}.
\end{align*}";intermediate algebra;;59873;
You have a rectangular prism box with length $x+5$ units, width $x-5$ units, and height $x^{2}+25$ units. For how many positive integer values of $x$ is the volume of the box less than 700 units?;To find the volume of the box, we multiply the three dimensions: $(x+5)(x-5)(x^{2}+25) = (x^{2}-25)(x^{2}+25) = x^{4}-625$. We want to find $x$ such that $x^{4}-625<700$, which simplifies to $x^{4}<1325$. Taking the fourth root shows us that $x$ is less than $\sqrt[4]{1325}$, which is between 6 and 7 (since $6^4=1296$ while $7^4=2401$). So $x$ could be 1, 2, 3, 4, 5, or 6. However, we see that the width is $x-5$ units, and this must be a positive number, so the only value of $x$ which works is 6. Thus, there is only $\boxed{1}$ possible value of $x$.;intermediate algebra;;56483;
"Each of $a_1,$ $a_2,$ $\dots,$ $a_{100}$ is equal to $1$ or $-1.$  Find the minimum positive value of
\[\sum_{1 \le i < j \le 100} a_i a_j.\]";"Let $S$ denote the given sum.  Then
\begin{align*}
2S &= (a_1 + a_2 + \dots + a_{100})^2 - (a_1^2 + a_2^2 + \dots + a_{100}^2) \\
&= (a_1 + a_2 + \dots + a_{100})^2 - 100.
\end{align*}To find the minimum positive value of $2S,$ we want $(a_1 + a_2 + \dots + a_{100})^2$ to be as close to 100 as possible (while being greater than 100).  Since each $a_i$ is $1$ or $-1,$ $a_1 + a_2 + \dots + a_{100}$ must be an even integer.  Thus, the smallest we could make $(a_1 + a_2 + \dots + a_{100})^2$ is $12^2 = 144.$  This is achievable by setting 56 of the $a_i$ to be equal to $1,$ and the remaining 44 to be equal to $-1.$

Thus, the minimum positive value of $S$ is $\frac{144 - 100}{2} = \boxed{22}.$";intermediate algebra;;59624;
Find the quotient when $x^5 + 7$ is divided by $x + 1.$;"We can perform long division.  We can also write
\begin{align*}
\frac{x^5 + 7}{x + 1} &= \frac{(x^5 + 1) + 6}{x + 1} \\
&= \frac{x^5 + 1}{x + 1} + \frac{6}{x + 1} \\
&= x^4 - x^3 + x^2 - x + 1 + \frac{6}{x - 1}.
\end{align*}Thus, the quotient is $\boxed{x^4 - x^3 + x^2 - x + 1}.$";intermediate algebra;;56477;
The circles whose equations are $x^2 + y^2 - 4x + 2y - 11 = 0$ and $x^2 + y^2 - 14x + 12y + 60 = 0$ intersect in the points $A$ and $B.$  Compute the slope of $\overline{AB}.$;"Subtracting the given equations, we get
\[10x - 10y - 71 = 0.\]Note that $A$ and $B$ must satisfy this equation, which is conveniently a line, so this equation represents line $AB.$  We see that the slope is $\boxed{1}.$";intermediate algebra;;56281;
What is the remainder when $x^2+7x-5$ divides $2x^4+11x^3-42x^2-60x+47$?;"\[
\begin{array}{c|cc ccc}
\multicolumn{2}{r}{2x^2} & -3x & -11 \\
\cline{2-6}
x^2+7x-5 & 2x^4 & +11x^3 & -42x^2 & -60x & +47  \\
\multicolumn{2}{r}{-2x^4} & -14x^3 & +10x^2 \\
\cline{2-4}
\multicolumn{2}{r}{0} & -3x^3 & -32x^2 & -60x \\
\multicolumn{2}{r}{} & +3x^3 & +21x^2 & -15x \\
\cline{3-5}
\multicolumn{2}{r}{} & 0 & -11x^2 & -75x & +47 \\
\multicolumn{2}{r}{} &  & +11x^2 & +77x & -55 \\
\cline{4-6}
\multicolumn{2}{r}{} &  & 0 & 2x & -8 \\
\end{array}
\]Since the degree of $2x-8$ is lower than that of $x^2+7x-5$, we cannot divide any further. So our remainder is $\boxed{2x-8}$.";intermediate algebra;;56340;
Compute $\sqrt{(31)(30)(29)(28)+1}.$;Let $x = 29.$ Then we can write \[\begin{aligned} (31)(30)(29)(28) + 1 &= (x+2)(x+1)(x)(x-1) + 1 \\ &= [(x+2)(x-1)][(x+1)x] - 1 \\& = (x^2+x-2)(x^2+x) + 1 \\&= (x^2+x)^2 - 2(x^2+x) + 1 \\&= (x^2+x-1)^2. \end{aligned} \]Therefore, the answer is \[ \begin{aligned} x^2+x-1&= 29^2 + 29 - 1\\& = \boxed{869}. \end{aligned}\];intermediate algebra;;56002;
"The squares of a chessboard are labelled with numbers, as shown below.

[asy]
unitsize(0.8 cm);

int i, j;

for (i = 0; i <= 8; ++i) {
  draw((i,0)--(i,8));
  draw((0,i)--(8,i));
}

for (i = 0; i <= 7; ++i) {
for (j = 0; j <= 7; ++j) {
  label(""$\frac{1}{"" + string(i + 8 - j) + ""}$"", (i + 0.5, j + 0.5));
}}
[/asy]

Eight of the squares are chosen, so that there is exactly one chosen square in each row and each column.  Find the minimum sum of the labels of the eight chosen squares.";"Numbers the rows 1, 2, 3, $\dots,$ 8 from top to bottom.  Let $r_1$ be the row number of the chosen square in the first column.  (For example, if the 5th square is chosen in the first column, then $r_1 = 5.$)  Then the label of that square is $\frac{1}{r_1}.$

Similarly, if $r_2$ is the row number of the chosen square in the second column, then its label is
\[\frac{1}{r_2 + 1}.\]In general, let $r_i$ be the row number of the chosen square in column $i,$ so its label is
\[\frac{1}{r_i + i - 1}.\]Then we want to minimize
\[\frac{1}{r_1} + \frac{1}{r_2 + 1} + \frac{1}{r_3 + 2} + \dots + \frac{1}{r_8 + 7}.\]By AM-HM,
\[\frac{r_1 + (r_2 + 1) + (r_3 + 2) + \dots + (r_8 + 7)}{8} \ge \frac{8}{\frac{1}{r_1} + \frac{1}{r_2 + 1} + \frac{1}{r_3 + 2} + \dots + \frac{1}{r_8 + 7}},\]so
\begin{align*}
\frac{1}{r_1} + \frac{1}{r_2 + 1} + \frac{1}{r_3 + 2} + \dots + \frac{1}{r_8 + 7} &\ge \frac{64}{r_1 + (r_2 + 1) + (r_3 + 2) + \dots + (r_8 + 7)} \\
&= \frac{64}{r_1 + r_2 + r_3 + \dots + r_8 + 28}.
\end{align*}Since there exists one chosen square in each row, $r_1,$ $r_2,$ $r_3,$ $\dots,$ $r_8$ are equal to 1, 2, 3, $\dots,$ 8 in some order.  Therefore,
\[\frac{1}{r_1} + \frac{1}{r_2 + 1} + \frac{1}{r_3 + 2} + \dots + \frac{1}{r_8 + 7} \ge \frac{64}{1 + 2 + 3 + \dots + 8 + 28} = \frac{64}{36 + 28} =  1.\]Equality occurs when we choose all eight squares labelled $\frac{1}{8},$ so the smallest possible sum is $\boxed{1}.$";intermediate algebra;;56473;
"A polynomial of degree four with leading coefficient 1 and integer coefficients has two real zeros, both of which are integers. Which of the following can also be a zero of the polynomial?

(A) $\frac{1 + i \sqrt{11}}{2}$

(B) $\frac{1 + i}{2}$

(C) $\frac{1}{2} + i$

(D) $1 + \frac{i}{2}$

(E) $\frac{1 + i \sqrt{13}}{2}$";"If $r$ and $s$ are the integer zeros, the polynomial can be written in the form $$P(x)=(x-r)(x-s)(x^2+\alpha x + \beta).$$The coefficient of $x^3$, $\alpha-(r+s)$, is an integer, so $\alpha$ is an integer. The coefficient of $x^2$, $\beta - \alpha(r+s)+rs$, is an integer, so $\beta$ is also an integer. Applying the quadratic formula gives the remaining zeros as $$\frac{1}{2}(-\alpha \pm \sqrt{\alpha^2-4\beta}) = -\frac{\alpha}{2} \pm i\frac{\sqrt{4\beta-\alpha^2}}{2}.$$Answer choices (A), (B), (C), and (E) require that $\alpha=-1$, which implies that the imaginary parts of the remaining zeros have the form $\pm\sqrt{4\beta-1}/2$. This is true only for choice $\boxed{\text{(A)}}$.
Note that choice (D) is not possible since this choice requires $\alpha = -2$, which produces an imaginary part of the form $\sqrt{\beta-1}$, which cannot be $\frac{1}{2}$.";intermediate algebra;;56117;
"Done with her new problems, Wendy takes a break from math. Still without any fresh reading material, she feels a bit antsy. She starts to feel annoyed that Michael's loose papers clutter the family van. Several of them are ripped, and bits of paper litter the floor. Tired of trying to get Michael to clean up after himself, Wendy spends a couple of minutes putting Michael's loose papers in the trash. ""That seems fair to me,"" confirms Hannah encouragingly.
While collecting Michael's scraps, Wendy comes across a corner of a piece of paper with part of a math problem written on it. There is a monic polynomial of degree $n$, with real coefficients. The first two terms after $x^n$ are $a_{n-1}x^{n-1}$ and $a_{n-2}x^{n-2}$, but the rest of the polynomial is cut off where Michael's page is ripped. Wendy barely makes out a little of Michael's scribbling, showing that $a_{n-1}=-a_{n-2}$. Wendy deciphers the goal of the problem, which is to find the sum of the squares of the roots of the polynomial. Wendy knows neither the value of $n$, nor the value of $a_{n-1}$, but still she finds a [greatest] lower bound for the answer to the problem. Find the absolute value of that lower bound.
";"By Vieta's Formulas, given that $r_1, r_2, \cdots r_n$ are roots of the polynomial, we know that $\sum_{i=1}^n r_i = -a_{n-1}$ and $r_1r_2 + r_1r_3 \cdots r_{n-1}r_n = a_{n-2}$.
From the equation $\sum_{i=1}^n r_i = -a_{n-1}$, squaring both sides and substituting results in\begin{align*} \sum_{i=1}^n r_i^2 + 2(r_1r_2 + r_1r_3 \cdots r_{n-1}r_n) &= (a_{n-1})^2 \\ \sum_{i=1}^n r_i^2 + 2a_{n-2} &= (-a_{n-2})^2 \\ \sum_{i=1}^n r_i^2 &= (a_{n-2})^2 - 2a_{n-2} \end{align*}To find the lower bound of $\sum_{i=1}^n r_i^2$, we need to find the lower bound of $(a_{n-2})^2 - 2a_{n-2}$. The minimum of the quadratic is $-1$, so the absolute value of the lower bound of the sum of the squares is $\boxed{1}$.";intermediate algebra;;59904;
"Let $n$ be a positive integer.  The sequence $(x_k)$ is defined by $x_0 = 0,$ $x_1 = 1,$ and
\[x_{k + 2} = \frac{(n - 1) x_{k + 1} - (n - k) x_k}{k + 1}\]for $k \ge 0.$  Find $x_0 + x_1 + x_2 + \dotsb$ as a function of $n.$";"The first few terms are
\begin{align*}
x_2 &= \frac{(n - 1) \cdot 1 - (n - k) \cdot 0}{1} = n - 1, \\
x_3 &= \frac{(n - 1)(n - 1) - (n - 1) \cdot 1}{2} = \frac{(n - 1)(n - 2)}{2}, \\
x_4 &= \frac{(n - 1) \cdot \frac{(n - 1)(n - 2)}{2} - (n - 2)(n - 1)}{3} = \frac{(n - 1)(n - 2)(n - 3)}{6}.
\end{align*}It looks like
\[x_k = \frac{(n - 1)(n - 2) \dotsm (n - k + 1)}{(k - 1)!}\]for $k \ge 2.$  We prove this by induction.

We see that the result holds for $k = 2$ and $k = 3,$ so assume that the result holds for $k = i$ and $k = i + 1$ for some $i \ge 2,$ so
\begin{align*}
x_i &= \frac{(n - 1)(n - 2) \dotsm (n - i + 1)}{(i - 1)!}, \\
x_{i + 1} &= \frac{(n - 1)(n - 2) \dotsm (n - i + 1)(n - i)}{i!}.
\end{align*}Then
\begin{align*}
x_{i + 2} &= \frac{(n - 1) x_{i + 1} - (n - i) x_i}{i + 1} \\
&= \frac{(n - 1) \cdot \frac{(n - 1)(n - 2) \dotsm (n - i + 1)(n - i)}{i!} - (n - i) \cdot \frac{(n - 1)(n - 2) \dotsm (n - i + 1)}{(i - 1)!}}{i + 1} \\
&= \frac{(n - 1)(n - 2) \dotsm (n - i + 1)(n - i)}{(i - 1)!} \cdot \frac{(n - 1)/i - 1}{i + 1} \\
&= \frac{(n - 1)(n - 2) \dotsm (n - i + 1)(n - i)}{(i - 1)!} \cdot \frac{n - 1 - i}{i(i + 1)} \\
&= \frac{(n - 1)(n - 2) \dotsm (n - i + 1)(n - i)(n - i - 1)}{(i + 1)!}.
\end{align*}This completes the induction step.

It follows that
\[x_k = \frac{(n - 1)(n - 2) \dotsm (n - k + 1)}{(k - 1)!} = \frac{(n - 1)!}{(k - 1)! (n - k)!}  =\binom{n - 1}{k - 1}\]for $k \le n,$ and $x_k = 0$ for $k \ge n + 1.$  Therefore,
\[x_0 + x_1 + x_2 + \dotsb = \binom{n - 1}{0} + \binom{n - 1}{1} + \binom{n - 2}{2} + \dots + \binom{n - 1}{n - 1} = \boxed{2^{n - 1}}.\]";intermediate algebra;;56215;
Let $\alpha \neq 1$ be a complex number such that the distance from $\alpha^2$ to 1 is twice the distance from $\alpha$ to 1, while the distance from $\alpha^4$ to 1 is four times the distance from $\alpha$ to 1.  Enter all possible values of $\alpha,$ separated by commas.;"From the given conditions, $|\alpha^2 - 1| = 2 |\alpha - 1|$ and $|\alpha^4 - 1| = 4 |\alpha - 1|.$  From the first equation,
\[|\alpha + 1||\alpha - 1| = 2 |\alpha - 1|.\]Since $\alpha \neq 1,$ $|\alpha - 1| \neq 0.$  Thus, we can safely cancel the factors of $|\alpha - 1|,$ to get
\[|\alpha + 1| = 2.\]From the second equation,
\[|\alpha^2 + 1||\alpha^2 - 1| = 4 |\alpha - 1|.\]Then $2 |\alpha^2 + 1||\alpha - 1| = 4 |\alpha - 1|,$ so
\[|\alpha^2 + 1| = 2.\]Let $\alpha = x + yi,$ where $x$ and $y$ are real numbers.  Then $\alpha^2 = x^2 + 2xyi - y^2,$ so the equations $|\alpha + 1| = 2$ and $|\alpha^2 + 1| = 2$ becomes
\begin{align*}
|x + yi + 1| &= 2, \\
|x^2 + 2xyi - y^2 + 1| &= 2.
\end{align*}Hence,
\begin{align*}
(x + 1)^2 + y^2 &= 4, \\
(x^2 - y^2 + 1)^2 + (2xy)^2 &= 4.
\end{align*}From the first equation, $y^2 = 4 - (x + 1)^2 = 3 - 2x - x^2.$  Substituting into the second equation, we get
\[(x^2 - (3 - 2x - x^2) + 1)^2 + 4x^2 (3 - 2x - x^2) = 4.\]This simplifies to $8x^2 - 8x = 0,$ which factors as $8x(x - 1) = 0.$  Hence, $x = 0$ or $x = 1.$

If $x = 0,$ then $y^2 = 3,$ so $y = \pm \sqrt{3}.$

If $x = 1,$ then $y^2 = 0,$ so $y = 0.$  But this leads to $\alpha = 1,$ which is not allowed.

Therefore, the possible values of $\alpha$ are $\boxed{i \sqrt{3}, -i \sqrt{3}}.$

Alternative: We can rewrite the second equation as $(x^2 + y^2 + 1)^2 - 4y^2 = 4.$  From the first equation, we have $x^2 + y^2 + 1 = 4 - 2x$ and $y^2 = 4 - (x + 1)^2.$  Substituting these, we get \[ (4 - 2x)^2 - 4(4 - (x + 1)^2) = 4. \]This simplifies to $8x^2 - 8x = 0,$ and we can continue as before.";intermediate algebra;;56185;
"If $(x,y)$ is a solution to the system
\begin{align*}
xy &= 6, \\
x^2 y + xy^2 + x + y &= 63,
\end{align*}find $x^2 + y^2.$";"The second equation factors as $(xy + 1)(x + y) = 63,$ so $7(x + y) = 63,$ or $x + y = 9.$  Then
\[x^2 + y^2 = (x + y)^2 - 2xy = 9^2 - 2 \cdot 6 = \boxed{69}.\]";intermediate algebra;;56098;
Let $x_1< x_2 < x_3$ be the three real roots of the equation $\sqrt{2014} x^3 - 4029x^2 + 2 = 0$. Find $x_2(x_1+x_3)$.;"The expression $x_2(x_1+x_3)$ is not symmetric in the roots $x_1, x_2, x_3,$ so Vieta's formulas can't be used directly to find its value. We hope that we can determine some of the values of the roots explicitly. Letting $a = \sqrt{2014},$ the equation becomes \[ax^3 - (2a^2+1)x^2 + 2 = 0.\]We can rearrange this as \[(ax^3-x^2) - (2a^2x^2-2) = 0,\]or \[x^2(ax-1) - 2(ax-1)(ax+1) = 0.\]Therefore, we have \[(ax-1)(x^2-2ax-2) = 0.\]It follows that one of the roots of the equation is $x = \tfrac{1}{a},$ and the other two roots satisfy the quadratic $x^2 - 2ax - 2 = 0.$ By Vieta's formulas, the product of the roots of the quadratic is $-2,$ which is negative, so one of the roots must be negative and the other must be positive. Furthermore, the sum of the roots is $2a,$ so the positive root must be greater than $2a.$ Since $2a > \tfrac1a,$ it follows that $\tfrac{1}{a}$ is the middle root of the equation. That is, $x_2 = \tfrac1a.$

Then $x_1$ and $x_3$ are the roots of $x^2-2ax-2=0,$ so by Vieta, $x_1+x_3=2a.$ Thus, \[x_2(x_1+x_3) = \frac1a \cdot 2a = \boxed{2}.\]";intermediate algebra;;59586;
For each positive integer $p$, let $b(p)$ denote the unique positive integer $k$ such that $|k-\sqrt{p}|<\frac{1}{2}$. For example, $b(6)=2$ and $b(23)=5$. Find $S=\sum_{p=1}^{2007} b(p)$.;"Given $k,$ suppose $|k - \sqrt{p}| < \frac{1}{2}.$  Then
\[k - \frac{1}{2} < \sqrt{p} < k + \frac{1}{2}.\]Squaring both sides, we get
\[k^2 - k + \frac{1}{4} < p < k^2 + k + \frac{1}{4}.\]Thus, given $k,$ the positive integers $p$ such that $b(p) = k$ are $k^2 - k + 1,$ $k^2 - k + 2,$ $\dots,$ $k^2 + k,$ for a total of $2k$ numbers.  So, these $2k$ numbers contribute $2k \cdot k = 2k^2$ to the sum.

Now, $b(2007) = 45,$ so
\begin{align*}
S &= \sum_{p = 1}^{2007} b(p) \\
&= \sum_{k = 1}^{44} 2k^2 + \sum_{p = 1981}^{2007} 45 \\
&= 2 \sum_{k = 1}^{44} k^2 + 27 \cdot 45 \\
&= 2 \cdot \frac{44 \cdot 45 \cdot 89}{6} + 27 \cdot 45 \\
&= \boxed{59955}.
\end{align*}";intermediate algebra;;56251;
Find the sum of the roots of the equation \[(2x^3 + x^2 - 8x + 20)(5x^3 - 25x^2 + 19) = 0.\];By Vieta's formulas, the sum of the roots of $2x^3 + x^2 - 8x + 20 = 0$ is $-\tfrac{1}{2}.$ Similarly, the sum of the roots of $5x^3-25x^2+19=0$ is $-\tfrac{-25}{5} = 5.$ Notice that the roots of the given equation consist of the roots of both equations put together (since, in general, $ab = 0$ if and only if $a=0$ or $b=0$). Therefore, the sum of the roots of the given equation is $-\tfrac{1}{2} + 5 = \boxed{\tfrac{9}{2}}.$;intermediate algebra;;56432;
Find the sum of the infinite series $1+2\left(\dfrac{1}{1998}\right)+3\left(\dfrac{1}{1998}\right)^2+4\left(\dfrac{1}{1998}\right)^3+\cdots$.;"Let
\[S = 1+2\left(\dfrac{1}{1998}\right)+3\left(\dfrac{1}{1998}\right)^2+4\left(\dfrac{1}{1998}\right)^3+\dotsb.\]Then
\[1998S = 1998 + 2 + \frac{3}{1998} + \frac{4}{1998^2} + \dotsb.\]Subtracting these equations, we get
\[1997S = 1998 + 1 + \frac{1}{1998} + \frac{1}{1988^2} + \dotsb = \frac{1998}{1 - 1/1998} = \frac{3992004}{1997},\]so $S = \boxed{\frac{3992004}{3988009}}.$";intermediate algebra;;56277;
"If $f(x)$ is defined for all integers $x \ge 0,$ $f(1) = 1,$ and
\[f(a + b) = f(a) + f(b) - 2f(ab)\]for all integers $a,$ $b \ge 0,$ compute $f(1986).$";"Setting $b = 0$ in the given functional equation, we get
\[f(a) = f(a) + f(0) - 2f(0),\]so $f(0) = 0.$

Setting $b = 1$ in the given functional equation, we get
\[f(a + 1) = f(a) + f(1) - 2f(a) = f(1) - f(a).\]Then
\begin{align*}
f(a + 2) &= f(1) - f(a + 1) \\
&= f(1) - [f(1) - f(a)] \\
&= f(a).
\end{align*}Therefore, $f(1986) = f(1984) = \dots = f(2) = f(0) = \boxed{0}.$";intermediate algebra;;56299;
"Let $x$ and $y$ be real numbers such that
\[
  2 < \frac{x - y}{x + y} < 5.
\]If $\frac{x}{y}$ is an integer, what is its value?";Let $\frac{x}{y} = t$. Then $x = ty$, so we can write \[\frac{x-y}{x+y} = \frac{ty-y}{ty+y} = \frac{t-1}{t+1}.\]Thus, we have \[2 < \frac{t-1}{t+1} < 5,\]which we can rewrite as follows: \[\begin{aligned} 2 < 1 &- \frac{2}{t+1} < 5 \\ 1 <&-\frac{2}{t+1} < 4 \\ -\frac{1}{2} > &\frac{1}{t+1} > -2. \end{aligned}\]The only number of the form $\frac{1}{t+1}$ (where $t$ is an integer) which lies in the interval $\left(-2, -\frac12\right)$ is $-1 = \frac1{-1}$, so we must have $t+1=-1$, and $t = -2$. This is achievable when $x = -2$ and $y =1$, so the answer is $\boxed{-2}$.;intermediate algebra;;56271;
"Let $a,$ $b,$ $c$ be real numbers such that $1 \le a \le b \le c \le 4.$  Find the minimum value of
\[(a - 1)^2 + \left( \frac{b}{a} - 1 \right)^2 + \left( \frac{c}{b} - 1 \right)^2 + \left( \frac{4}{c} - 1 \right)^2.\]";"By QM-AM,
\begin{align*}
\sqrt{\frac{(a - 1)^2 + (\frac{b}{a} - 1)^2 + (\frac{c}{b} - 1)^2 + (\frac{4}{c} - 1)^2}{4}} &\ge \frac{(a - 1) + (\frac{b}{a} - 1) + (\frac{c}{b} - 1) + (\frac{4}{c} - 1)}{4} \\
&= \frac{a + \frac{b}{a} + \frac{c}{b} + \frac{4}{c} - 4}{4}.
\end{align*}By AM-GM,
\[a + \frac{b}{a} + \frac{c}{b} + \frac{4}{c} \ge 4 \sqrt[4]{4} = 4 \sqrt{2},\]so
\[\sqrt{\frac{(a - 1)^2 + (\frac{b}{a} - 1)^2 + (\frac{c}{b} - 1)^2 + (\frac{4}{c} - 1)^2}{4}} \ge \sqrt{2} - 1,\]and
\[(a - 1)^2 + \left( \frac{b}{a} - 1 \right)^2 + \left( \frac{c}{b} - 1 \right)^2 + \left( \frac{4}{c} - 1 \right)^2 \ge 4 (\sqrt{2} - 1)^2 = 12 - 8 \sqrt{2}.\]Equality occurs when $a = \sqrt{2},$ $b = 2,$ and $c = 2 \sqrt{2},$ so the minimum value is $\boxed{12 - 8 \sqrt{2}}.$";intermediate algebra;;56391;
"For a real number $x,$ find the maximum value of
\[\frac{x^4}{x^8 + 2x^6 - 4x^4 + 8x^2 + 16}.\]";"If $x = 0,$ then the expression is equal to 0, so assume that $x \neq 0.$  Then dividing the numerator and denominator by $x^4,$ we get
\[\frac{1}{x^4 + 2x^2 - 4 + \frac{8}{x^2} + \frac{16}{x^4}}.\]By AM-GM,
\[x^4 + \frac{16}{x^4} \ge 2 \sqrt{x^4 \cdot \frac{16}{x^4}} = 8,\]and
\[2x^2 + \frac{8}{x^2} \ge 2 \sqrt{2x^2 \cdot \frac{8}{x^2}} = 8,\]so
\[\frac{1}{x^4 + 2x^2 - 4 + \frac{8}{x^2} + \frac{16}{x^4}} \le \frac{1}{8 + 8 - 4} = \frac{1}{12}.\]Equality occurs when $x = \sqrt{2},$ so the maximum value is $\boxed{\frac{1}{12}}.$";intermediate algebra;;56084;
"For positive real numbers $x,$ $y,$ and $z,$ compute the maximum value of
\[\frac{xyz(x + y + z)}{(x + y)^2 (y + z)^2}.\]";"By AM-GM,
\[xz + (xy + y^2 + yz) \ge 2 \sqrt{xz(xy + y^2 + yz)} = 2 \sqrt{xyz(x + y + z)}.\]But $xz + (xy + y^2 + yz) = (x + y)(y + z),$ so
\[(x + y)(y + z) \ge 2 \sqrt{xyz(x + y + z)}.\]Then $(x + y)^2 (y + z)^2 \ge 4xyz(x + y + z),$ so
\[\frac{xyz(x + y + z)}{(x + y)^2 (y + 2)^2} \le \frac{1}{4}.\]Equality occurs whenever $xz = xy + y^2 + yz.$  For example, we can take $x = 2,$ $y = 1,$ and $z = 3.$  Thus, the maximum value is $\boxed{\frac{1}{4}}.$";intermediate algebra;;55811;
